velocity,angle_deg,gravity,range_actual,max_height_actual,range_noisy,max_height_noisy
562.1780831931537,36.15485729266889,9.816499915549498,30672.78797690358,5602.999157634981,29705.533377695152,5665.66295633573
965.5000144869413,33.303846736198224,9.789225599779934,87399.31822635958,14354.755374707069,96752.39463393993,14920.923866047018
812.3957592679835,22.330773875200205,9.797331984718493,47351.29220280271,4862.474339595371,51294.89504567817,4851.801425781367
719.0609389379256,52.50866690710416,9.813164031842891,50889.81688245126,16585.419167010754,52749.67540216748,15581.54301434786
409.2130483097055,43.36369123560402,9.804104467226225,17052.2698482203,4026.268146809576,16759.758680748717,4162.781928387738
409.1961642353418,70.59906946268026,9.816928551931744,10688.0396105462,7587.190069071083,11329.658479253598,8062.366440019782
340.6585285177396,12.247670633744079,9.828060395061144,4895.760675577666,265.6913557496207,4618.303319166782,269.9075350383119
906.3233020424547,55.07075492885885,9.78582733438576,78806.61164059234,28210.959742242725,83048.67427910746,28900.89312617071
720.7805082202462,63.406421495809276,9.815478385819903,42374.89129458635,21161.099031152273,44341.0301832077,19854.611310116692
795.6508044572319,63.16405984318149,9.791517207781606,52087.650409131296,25738.874683595976,51693.48822326505,26648.56840719694
314.40914600706174,72.02517769668675,9.800723836370379,5921.4087626367445,4562.87709132202,6258.6881535443,4869.96187318369
978.936896513396,61.03236199806459,9.781643136289757,83025.4270639764,37495.38913045019,81168.89080068789,38253.893620166986
882.7098485602952,74.94670431533874,9.786795369114634,39935.750373523544,37122.40504035807,37409.64324118401,33787.35926919951
448.6373774747933,33.2859619874624,9.795988864452445,18852.85171984525,3094.349427592023,19774.723188709453,3347.409888065854
427.27747704497045,45.224659172608014,9.797099290264399,18634.13070136318,4695.209280772637,18554.709307215595,4473.40198506604
428.38315689740364,10.985576429802347,9.824979260823104,6988.22629092013,339.13699975885856,7198.495242587006,345.71264280973116
512.9695700716763,10.487031111230385,9.817090645463326,9594.382901103947,443.9918930977595,10467.897060049298,465.14757997553954
